Day,Date,MLD_A,MLD_B,MLD_C,IN_PH,IN_DO,IN_TSS,IN_COD,IN_BOD,IN_MPN,OUT_PH,OUT_DO,OUT_TSS,OUT_COD,OUT_BOD,OUT_MPN,
71,10-Jun-19,127,116,117,7.35,0,250,264,150,,7.6,4.6,47,92,28,,
72,11-Jun-19,127,117,120,7.32,0,276,248,145,,7.65,4.9,43,80,29,,
73,12-Jun-19,111,111,112,7.4,0,253,240,135,,7.58,4.8,38,72,27,,
74,13-Jun-19,132,111,111,7.33,0,265,272,163,,7.67,5.1,42,88,26,,
75,14-Jun-19,119,111,114,7.37,0,246,232,160,,7.62,4.7,41,80,24,,
76,15-Jun-19,111,111,105,7.4,0,256,256,150,,7.65,4.9,44,72,28,,
77,16-Jun-19,123,113,114,7.35,0,226,248,145,,7.58,4.6,36,64,26,,
78,17-Jun-19,105,105,102,7.3,0,238,264,155,,7.64,4.8,40,72,29,,
79,18-Jun-19,128,122,123,7.33,0,262,256,150,,7.67,5.1,46,88,25,,
80,19-Jun-19,123,121,123,7.28,0,233,240,135,,7.65,5,39,76,25,,
81,20-Jun-19,130,120,123,7.29,0,266,252,145,,7.58,4.8,43,64,24,,
82,21-Jun-19,132,122,124,7.35,0,250,272,150,,7.56,4.6,40,80,26,,
83,22-Jun-19,130,117,115,7.27,0,267,296,160,,7.64,4.9,45,88,28,,
84,23-Jun-19,136,118,121,7.32,0,243,280,140,,7.7,5.2,39,84,25,,
85,24-Jun-19,127,114,115,7.3,0,248,264,135,,7.66,4.8,37,72,27,,
86,25-Jun-19,130,122,120,7.42,0,225,256,150,,7.59,4.5,42,80,29,,
87,26-Jun-19,122,116,117,7.37,0,220,248,140,,7.63,4.8,35,60,26,,
88,27-Jun-19,125,116,115,7.27,0,249,272,155,,7.68,5,43,76,25,,
89,28-Jun-19,127,115,118,7.31,0,255,264,150,,7.64,4.7,40,80,28,,
90,29-Jun-19,121,114,115,7.35,0,269,280,160,,7.7,5.1,36,64,27,,
91,30-Jun-19,93,90,86,7.29,0,242,260,145,,7.65,4.9,39,72,25,,
,,,,,,,,,,,,,,,,,
92,01-Jul-19,93,81,82,7.33,0,253,256,145,,7.67,4.7,42,80,29,,
93,02-Jul-19,121,114,111,7.3,0,267,240,135,,7.62,4.9,45,72,26,,
94,03-Jul-19,127,121,125,7.21,0,270,260,153,,7.67,5,41,64,25,,
95,04-Jul-19,109,94,94,7.19,0,315,280,150,,7.56,4.6,39,80,28,,
96,05-Jul-19,131,124,127,7.2,0,293,272,155,,7.59,5,45,88,26,,
97,06-Jul-19,134,128,136,7.25,0,276,264,160,,7.63,4.9,42,88,29,,
98,07-Jul-19,131,120,126,7.32,0,255,288,148,,7.66,5.1,37,72,27,,
99,08-Jul-19,124,117,118,7.38,0.4,260,268,140,,7.6,4.7,40,72,25,,
100,09-Jul-19,142,127,134,7.4,0.6,248,280,155,,7.68,5,42,84,27,,
101,10-Jul-19,127,113,118,7.34,0.4,313,320,160,,7.58,4.6,39,88,28,,
102,11-Jul-19,97,83,86,7.3,0.2,283,296,165,,7.65,4.9,37,76,27,,
103,12-Jul-19,132,123,129,7.38,0.5,304,288,150,,7.67,5,41,72,25,,
104,13-Jul-19,112,111,105,7.33,0,252,264,135,,7.71,5.1,47,80,29,,
105,14-Jul-19,112,113,109,7.29,0,280,296,155,,7.66,5,44,88,28,,
106,15-Jul-19,117,112,112,7.32,0,266,272,145,,7.6,4.8,37,68,26,,
107,16-Jul-19,103,99,88,7.27,0.2,270,264,150,,7.63,4.9,40,72,27,,
108,17-Jul-19,104,94,94,7.3,0.1,260,248,143,,7.68,5.1,42,64,24,,
109,18-Jul-19,113,107,102,7.25,0,257,240,135,,7.62,4.7,45,72,26,,
110,19-Jul-19,110,105,107,7.23,0,251,256,140,,7.59,4.9,42,80,28,,
111,20-Jul-19,113,105,106,7.27,0,238,244,130,,7.57,4.8,38,68,25,,
112,21-Jul-19,119,110,104,7.25,0,249,272,150,,7.58,4.6,44,88,28,,
113,22-Jul-19,126,116,116,7.33,0,233,264,145,,7.64,4.8,40,76,27,,
114,23-Jul-19,110,109,105,7.26,0,267,248,150,,7.57,4.9,42,72,26,,
115,24-Jul-19,110,109,110,7.32,0,272,260,155,,7.6,4.6,45,64,29,,
116,25-Jul-19,111,104,99,7.26,0,244,256,130,,7.69,5,35,80,24,,
117,26-Jul-19,111,100,108,7.35,0,278,240,150,,7.72,5.2,47,60,26,,
118,27-Jul-19,99,105,103,7.3,0,257,272,135,,7.65,4.8,42,72,28,,
119,28-Jul-19,118,118,113,7.36,0,265,288,160,,7.7,5,48,88,25,,
120,29-Jul-19,86,87,80,7.26,0,235,248,145,,7.58,4.7,38,72,27,,
121,30-Jul-19,57,58,49,7.4,0,280,264,143,,7.65,5,45,56,25,,
122,31-Jul-19,107,105,102,7.43,0,253,248,150,,7.67,5.4,48,72,26,,
,,,,,,,,,,,,,,,,,
123,01-Aug-19,119,114,112,7.37,0,287,272,163,,7.7,5.2,42,64,28,,
124,02-Aug-19,104,103,95,7.23,0,263,264,160,,7.62,5,38,72,29,,
125,03-Aug-19,90,91,78,7.26,0,239,252,145,,7.58,4.8,43,76,26,,
126,04-Aug-19,100,98,89,7.32,0,248,240,135,,7.64,5,40,80,27,,
127,05-Aug-19,124,113,113,7.28,0,257,248,130,,7.58,4.6,42,64,24,,
128,06-Aug-19,118,111,107,7.3,0,243,232,135,,7.62,4.5,38,72,26,,
129,07-Aug-19,123,120,117,7.23,0,246,264,140,,7.57,4.8,41,80,28,,
130,08-Aug-19,119,118,116,7.36,0.5,230,224,125,,7.68,5,37,76,24,,
131,09-Aug-19,115,113,116,7.26,0.3,237,240,135,,7.59,4.9,34,68,26,,
132,10-Aug-19,125,116,120,7.3,0.4,242,232,130,,7.57,4.7,38,64,25,,
133,11-Aug-19,118,105,108,7.35,0.2,257,240,140,,7.64,5,42,72,28,,
134,12-Aug-19,108,100,98,7.3,0.4,243,256,145,,7.68,5.2,38,80,26,,
135,13-Aug-19,108,100,97,7.36,0.5,263,248,135,,7.63,4.9,36,56,24,,
136,14-Aug-19,108,104,96,7.26,0,245,264,150,,7.58,4.7,40,72,27,,
137,15-Aug-19,113,114,110,7.33,0,225,240,138,,7.65,5,36,64,25,,
138,16-Aug-19,123,116,110,7.27,0.3,258,272,150,,7.72,5.2,43,80,24,,
139,17-Aug-19,135,130,89,7.36,0.4,230,256,140,,7.68,5,37,60,28,,
140,18-Aug-19,124,98,124,7.28,0,246,248,130,,7.74,5.3,41,72,26,,
141,19-Aug-19,127,120,98,7.37,0,252,268,125,,7.64,4.8,35,56,27,,
142,20-Aug-19,116,103,104,7.33,0.4,245,240,135,,7.7,5.2,40,80,29,,
143,21-Aug-19,120,115,114,7.3,0.6,234,224,130,,7.65,5,38,76,25,,
144,22-Aug-19,118,104,100,7.36,0.4,226,216,125,,7.68,4.8,37,64,24,,
145,23-Aug-19,123,111,111,7.33,0.2,215,232,130,,7.72,5.2,34,64,27,,
146,24-Aug-19,131,119,117,7.3,0.4,200,224,140,,7.59,4.7,38,72,28,,
147,25-Aug-19,115,108,101,7.36,0.6,228,248,135,,7.63,4.5,35,56,26,,
148,26-Aug-19,126,117,112,7.4,0.8,204,228,133,,7.68,5,40,76,27,,
149,27-Aug-19,127,120,122,7.35,0.4,227,240,140,,7.73,5.2,38,64,28,,
150,28-Aug-19,131,125,130,7.42,0.5,242,232,130,,7.74,5,40,68,25,,
151,29-Aug-19,126,111,115,7.39,0.3,236,224,125,,7.68,5.1,38,72,27,,
152,30-Aug-19,135,125,131,7.34,0.1,223,248,135,,7.62,4.8,43,80,29,,
153,31-Aug-19,134,122,123,7.38,0.5,205,240,138,,7.68,5,45,88,27,,
,,,,,,,,,,,,,,,,,
154,01-Sep-19,121,122,122,7.4,0.4,216,232,135,,7.69,4.9,39,80,26,,
155,02-Sep-19,100,109,111,7.33,0,212,224,150,,7.61,4.7,41,72,24,,
156,03-Sep-19,112,107,108,7.37,0.3,228,236,145,,7.65,5,33,56,26,,
157,04-Sep-19,120,113,113,7.3,0.2,217,248,155,,7.58,5.7,41,64,24,,
158,05-Sep-19,130,119,116,7.35,0.4,232,240,150,,7.72,5.1,35,76,28,,
159,06-Sep-19,128,114,121,7.36,0.5,221,232,140,,7.7,4.9,38,64,25,,
160,07-Sep-19,125,112,115,7.38,0,241,248,143,,7.72,5,43,72,27,,
161,08-Sep-19,110,101,100,7.34,0,246,224,135,,7.68,4.8,39,80,29,,
162,09-Sep-19,120,108,109,7.25,0,236,240,140,,7.59,5,42,68,26,,
163,10-Sep-19,113,104,104,7.28,0,227,232,145,,7.65,5.3,38,72,28,,
164,11-Sep-19,117,110,110,7.27,0,243,248,150,,7.62,5,42,84,29,,
165,12-Sep-19,115,106,102,7.24,0,252,264,155,,7.68,4.8,45,88,26,,
166,13-Sep-19,128,119,117,7.4,0.5,224,252,135,,7.72,5.1,39,68,28,,
167,14-Sep-19,114,107,102,7.25,0.3,238,248,115,,7.58,4.7,36,64,25,,
168,15-Sep-19,122,114,112,7.3,0.6,215,232,110,,7.64,4.9,43,80,27,,
169,16-Sep-19,115,106,106,7.35,0.2,237,224,100,,7.57,4.6,40,72,26,,
170,17-Sep-19,117,116,103,7.23,0,218,240,105,,7.68,5,45,88,29,,
171,18-Sep-19,124,100,110,7.26,0,215,224,110,,7.59,4.8,41,64,26,,
172,19-Sep-19,97,97,94,7.3,0,201,184,90,,7.62,5,37,80,24,,
173,20-Sep-19,101,96,86,7.21,0.7,166,172,93,,7.5,5.1,41,76,27,,
174,21-Sep-19,113,109,107,7.24,0.4,170,180,88,,7.54,4.8,39,68,25,,
175,22-Sep-19,116,105,103,7.2,0.2,160,176,100,,7.5,4.6,43,72,28,,
176,23-Sep-19,100,96,89,7.22,0.4,173,160,80,,7.54,4.8,40,88,26,,
177,24-Sep-19,109,98,91,7.27,0.5,164,168,85,,7.58,4.7,35,80,27,,
178,25-Sep-19,105,95,93,7.3,0.4,182,192,78,,7.64,4.9,37,68,25,,
179,26-Sep-19,100,95,88,7.24,0.5,162,176,85,,7.56,4.6,42,76,28,,
180,27-Sep-19,92,83,80,7.32,0.7,145,164,80,,7.62,4.8,35,60,26,,
181,28-Sep-19,103,98,95,7.14,0.5,153,160,75,,7.52,4.5,38,72,27,,
182,29-Sep-19,100,92,92,7.21,0.5,173,168,83,,7.59,4.8,39,64,25,,
183,30-Sep-19,107,104,97,7.17,0.4,164,176,90,,7.54,5,38,76,28,,
,,,,,,,,,,,,,,,,,
184,01-Oct-19,108,102,97,7.12,0,181,200,100,,7.51,4.7,42,64,24,,
185,02-Oct-19,112,108,105,7.19,0,175,196,80,,7.6,4.6,46,80,28,,
186,03-Oct-19,103,99,94,7.15,0.2,188,180,75,,7.56,4.8,72,72,26,,
187,04-Oct-19,114,101,106,7.2,0,166,172,90,,7.53,4.5,44,84,24,,
188,05-Oct-19,115,113,114,7.18,0,186,200,105,,7.56,4.7,38,68,26,,
189,06-Oct-19,127,119,119,7.16,0,173,184,95,,7.54,4.5,42,80,28,,
190,07-Oct-19,115,110,106,7.25,0,168,176,100,,7.6,4.3,36,64,25,,
191,08-Oct-19,104,99,93,7.2,0.3,179,192,110,,7.62,4.7,41,72,27,,
192,09-Oct-19,114,104,102,7.16,0.5,187,168,105,,7.57,4.5,46,88,29,,
193,10-Oct-19,111,109,98,7.21,0,182,192,98,,7.62,4.9,37,68,26,,
194,11-Oct-19,120,113,110,7.21,0,188,208,103,,7.5,4.6,42,72,28,,
195,12-Oct-19,118,109,103,7.18,0,166,184,98,,7.52,4.5,37,84,25,,
196,13-Oct-19,118,112,107,7.16,0,173,168,93,,7.54,4.7,41,76,28,,
197,14-Oct-19,103,93,89,7.23,0.3,178,192,113,,7.51,4.2,45,88,24,,
198,15-Oct-19,113,109,104,7.21,0,196,216,105,,7.58,4.4,38,80,26,,
199,16-Oct-19,122,114,112,7.16,0,249,240,118,,7.54,4.6,36,72,27,,
200,17-Oct-19,124,120,121,7.14,0,221,232,115,,7.56,4.2,34,64,25,,
201,18-Oct-19,122,112,110,7.19,0,236,252,125,,7.46,4.5,39,60,28,,
202,19-Oct-19,116,116,116,7.15,0,205,224,118,,7.45,4.3,42,76,26,,
203,20-Oct-19,114,108,105,7.2,0,220,244,128,,7.52,4.7,37,68,29,,
204,21-Oct-19,129,119,119,7.21,0,248,264,145,,7.46,4.5,43,88,27,,
205,22-Oct-19,104,106,100,7.25,0,236,240,138,,7.45,4.3,39,84,25,,
206,23-Oct-19,110,106,95,7.21,0,265,280,150,,7.42,4.6,40,64,26,,
207,24-Oct-19,108,103,106,7.25,0,306,320,155,,7.4,4.4,36,80,28,,
208,25-Oct-19,103,98,92,7.21,0.5,239,224,100,100,7.44,4.2,43,72,24,,
209,26-Oct-19,104,95,93,7.2,0,296,272,120,120,7.41,4.5,39,80,26,,
210,27-Oct-19,100,93,84,,,,,,,,,,,,,
211,28-Oct-19,88,79,76,7.23,0,266,248,105,105,7.45,4.3,42,72,24,,
212,29-Oct-19,99,96,93,7.15,0,230,264,150,150,7.5,4.2,36,60,25,,
213,30-Oct-19,97,88,83,7.15,0,218,208,95,95,7.4,4.1,39,80,27,,
214,31-Oct-19,98,91,85,7.2,0,261,288,133,,7.42,4.3,35,64,24,,
,,,,,,,,,,,,,,,,,
215,01-Nov-19,96.55,85.31,81.73,7.2,0,312,320,163,9.4,7.4,4.4,36,80,26,7100,
216,02-Nov-19,85.2,85.94,73.48,7.14,0,206,192,120,9.2,7.47,4.5,35,72,28,8100,
217,03-Nov-19,80.05,78.13,67.02,7.14,0,247,232,140,17,7.45,4.6,37,68,24,6000,
218,04-Nov-19,72.98,75.06,66.36,7.15,0,221,208,115,6.3,7.51,4.6,33,60,25,7800,
219,05-Nov-19,73.01,82.62,63.08,7.25,0,215,232,130,7,7.54,4.4,37,80,26,4000,
220,06-Nov-19,72.79,77.64,66.05,7.25,0,228,256,145,7.9,7.54,4.8,36,72,27,9200,
221,07-Nov-19,87.27,89.11,77.99,7.22,0,260,288,155,9.4,7.49,4.7,38,64,25,7100,
222,08-Nov-19,69.5,66.58,55.6,7.26,0,236,264,150,14,7.49,4.9,32,60,23,7800,
223,09-Nov-19,93.91,94.99,82.74,7.25,0,226,272,145,7.9,7.5,5,36,56,25,3600,
224,10-Nov-19,97.3,93.42,84.22,7.27,0,223,240,145,9.2,7.49,4.2,40,72,28,7100,
225,11-Nov-19,84.42,83.26,70.46,7.31,0,218,240,128,17,7.52,5,38,64,26,3300,
226,12-Nov-19,99.64,100.68,92.85,7.33,0,234,248,135,9.4,7.54,5.2,42,80,27,5600,
227,13-Nov-19,105.41,109.59,102.74,7.32,0,216,232,120,15,7.53,5.1,37,68,25,8100,
228,14-Nov-19,84.9,109.03,106.43,7.28,0,212,224,128,11,7.49,5,43,72,26,6000,
229,15-Nov-19,101.87,105.81,101.11,7.3,0,242,256,123,1.4,7.46,4.2,47,88,29,8100,
230,16-Nov-19,113.67,110,110.25,7.34,0,216,224,115,1.7,7.45,4,46,96,27,4000,
231,17-Nov-19,121.17,112.53,11.78,7.32,0,223,240,125,9.4,7.46,4.1,45,72,27,7100,
232,18-Nov-19,110.57,105.92,104.64,7.26,0,219,232,140,7,7.48,4.3,47,80,29,1800,
233,19-Nov-19,115.25,100.52,109.27,7.24,0,239,256,150,1.7,7.38,4.6,44,84,25,4000,
234,20-Nov-19,111.67,107.65,109.04,7.23,0,212,232,118,1.4,7.39,4.2,46,80,28,4500,
235,21-Nov-19,132.88,109.64,110.42,7.24,0,237,256,145,9.4,7.4,4.1,42,68,26,6000,
236,22-Nov-19,119.69,105.35,108.12,7.26,0,215,232,115,6.3,7.42,4,44,72,28,5600,
237,23-Nov-19,99.75,94.81,91.17,7.18,0,271,312,170,9.4,7.34,4.2,41,80,25,4500,
238,24-Nov-19,102.37,99.14,96.56,7.23,0,216,240,120,1.4,7.38,4,46,72,27,6000,
239,25-Nov-19,116.04,104.4,102.15,7.28,0,229,248,128,9.4,7.37,4.1,47,80,26,5600,
240,26-Nov-19,127.79,115.66,114.27,7.19,0,216,232,123,7,7.39,4,43,64,28,8100,
241,27-Nov-19,125,111,108,7.21,0,219,240,135,6.3,7.32,4.2,40,72,25,8200,
242,28-Nov-19,134,114,114,7.18,0,238,248,140,15,7.32,4.1,42,80,27,9200,
